model,image,psnr,ssim,mse,mae,rmse,psnr_gain,ssim_gain,mse_ratio,sharpness,sharpness_gain,fog_density,fog_reduction,colorfulness,color_gain,contrast,contrast_gain,dark_channel,entropy,lane_contrast,visibility,infer_ms
AOD-Net,foggy_road53,15.753101163029266,0.8110421193118637,1728.9014739990234,34.95695495605469,41.58006101485451,1.0831412828645863,-0.06597644986862528,1.2832584370047975,608.1437271260074,416.25626891851425,0.0,0.23424384055043146,16.570213317871094,9.689105033874512,63.79922171519724,13.056210147034989,0.22683069109916687,7.162038803100586,15.27047481688697,1.0,44.16239997954108
AOD-Net,foggy_road54,16.017041080006322,0.8134213751621786,1626.9576670328777,35.05546569824219,40.335563303775466,1.9937266917757555,-0.04989004638315342,1.5826054944893377,542.7511970842606,377.67920903809136,0.0,0.31894374931433744,23.223295211791992,14.779217720031738,63.857461803992294,10.479040339680445,0.2506847083568573,7.250332355499268,15.738069904005814,1.0,56.174099998315796
AOD-Net,foggy_road55,15.630899546081626,0.8119023028754008,1778.2401275634766,36.40470886230469,42.16918457313915,1.8210545437614076,-0.048740873771603854,1.5209167903773118,917.5130221189465,641.758294301806,0.0,0.08126709586302668,26.144187927246094,16.957523345947266,58.51433704871725,11.312893467568323,0.22437971830368042,7.316860198974609,14.52180818583737,1.0,48.09679999016225
AOD-Net,foggy_road56,15.69715305792445,0.8196547801290829,1751.3181762695312,35.028839111328125,41.84875358083597,1.4926518811352878,-0.05428347317787674,1.4101495985904682,742.7623689076281,535.7031037658453,0.0,0.20137159219280393,17.23029327392578,10.573500633239746,56.47605003030463,10.862264094664525,0.20365864038467407,6.896181583404541,13.661191872062258,1.0,49.98320000595413
AOD-Net,foggy_road57,15.970274828545481,0.8146526909195563,1644.5719477335613,34.231971740722656,40.553322277386364,1.3603913596161803,-0.05873068017523242,1.3678520825030986,745.8942541232682,551.0729596903548,0.0,0.22808530266303517,16.89398193359375,8.444925308227539,65.48524404711848,15.529109647125217,0.23295104503631592,6.760562896728516,12.239184672410445,1.0,50.82899998524226
AOD-Net,foggy_road58,17.00786191643139,0.8490918114190024,1295.0727615356445,30.251508076985676,35.987119383685666,0.9707817507386487,-0.028652314102514564,1.2504841030505316,843.8772839605226,542.8319998683291,0.0,0.0,38.356258392333984,27.276982307434082,53.52903199541798,2.143726238798344,0.1711864024400711,7.116104602813721,15.263028561044006,1.0,51.220000023022294
AOD-Net,foggy_road59,18.616983518342572,0.8650965459907205,894.0915883382162,24.985997517903645,29.901364322355196,3.538347481007259,0.013271428802294039,2.258576203634566,1045.2096182763926,764.6896654674783,0.0,0.042206768914019144,17.31922149658203,9.748926162719727,68.62289598317275,9.227254243127518,0.2148669809103012,7.24709415435791,18.638076000159423,1.0,45.7516000024043
AOD-Net,foggy_road60,17.689588948180006,0.8420603452304375,1106.933334350586,28.495381673177082,33.27060766428209,1.6469940930411973,-0.02929806830877013,1.4611654996482157,916.444545507431,592.3620824674144,0.0,0.0,18.516944885253906,8.92819881439209,68.34875545129071,9.305659637085654,0.21145287156105042,7.257355690002441,16.766105810186556,1.0,52.29640001198277
AOD-Net,foggy_road61,,,,,,,,,1203.042378968501,799.5920231863274,0.0,0.0,29.766998291015625,18.63181972503662,50.77704484749476,2.4208865421935357,0.1709013283252716,7.181647300720215,14.900120509410055,1.0,45.54709998774342
AOD-Net,foggy_road71,17.074319282417463,0.8444547044009242,1275.4059321085613,29.60790761311849,35.71282587682696,2.4255549161618344,-0.00928692247253815,1.748056604627873,1208.191103845602,904.8187963645905,0.0,0.0,17.392822265625,8.157052040100098,51.23517255290048,6.473937126243413,0.1765858232975006,7.203979969024658,20.702666186153195,1.0,38.87839999515563
AOD-Net,foggy_road74,17.638823364315513,0.8475614020471566,1119.9484278361003,28.012290954589844,33.46563054592129,3.48416399365113,0.012842309909398164,2.230572786298328,1132.8776231947704,844.5508091675001,0.0,0.025291902940914313,17.4844970703125,9.99241828918457,58.60669095441674,9.820380709108825,0.1794470250606537,6.919192790985107,21.949319083051062,1.0,38.70000000461005
AOD-Net,foggy_road78,20.86642556692659,0.9089588277680196,532.6449381510416,17.963673909505207,23.079101762222933,6.445948213185083,0.06283447340639403,4.411586726130118,2284.7182742501027,1444.480749106966,0.0,0.0,20.644912719726562,9.391654014587402,53.31737551295293,3.346065424439317,0.12932303547859192,7.117217063903809,46.41882852905989,1.0,52.516300027491525
AOD-Net,foggy_road79,21.932167287556986,0.9230209802843166,416.7385075887044,14.349540710449219,20.41417418336349,6.092911679985011,0.062223728057126504,4.0671591602836985,1989.3973688483238,1313.6108946783934,0.0,0.0,18.426593780517578,9.394404411315918,72.3376926780708,2.097437392326569,0.17428001761436462,7.192798137664795,23.70318775493197,1.0,47.23980001290329
GridDehazeNet,foggy_road17,13.177557515799352,0.8015716327933241,3128.4167989095054,43.45844014485677,55.932251866964066,0.1404226370674042,-0.01661953743595479,1.032861914634775,1685.9955759806908,1159.3656693396042,0.0,0.017204188296669407,17.569196701049805,9.136493682861328,70.74460113561797,19.52900874955919,0.38263699412345886,7.2038092613220215,40.24046771873916,1.0,2190.223799989326
GridDehazeNet,foggy_road18,15.132809895516747,0.8451256893725541,1994.3407872517903,34.16094716389974,44.658042805879774,1.4503533246281712,-0.0025886770860540365,1.3964819686246321,1265.4553085786756,857.4887719636899,0.0,0.0,16.765029907226562,8.452332496643066,66.3680618362163,19.82782600750017,0.3115646541118622,7.040987014770508,50.31203377270611,1.0,2125.469599995995
GridDehazeNet,foggy_road28,16.801463065975952,0.829072206160518,1358.1072082519531,25.408177693684895,36.852506132581446,1.036654213384951,-0.015455973412228041,1.2695956371577417,1008.3647534236661,686.0896893436438,0.0,0.0,22.094661712646484,11.051023483276367,80.04086686833017,17.9188393281541,0.3101486265659332,6.670330047607422,16.915267264906014,1.0,2355.657500011148
GridDehazeNet,foggy_road40,14.616619758849616,0.8413346765043673,2246.044647216797,38.034515380859375,47.39245348382796,0.5514442259518368,-0.004497450894088595,1.1353883209666,1018.4794687700924,686.143208375026,0.0,0.0,19.43216323852539,10.007808685302734,67.40014569938334,21.273895518907146,0.3546660542488098,7.150978088378906,19.41641133385342,1.0,2354.46640002192
GridDehazeNet,foggy_road47,14.07484967886999,0.8200953145616685,2544.4586232503257,38.75762939453125,50.442627045489274,-0.15585000871834076,-0.04697030728499707,0.9647504706848768,950.5616573979496,647.6829075505375,0.0,0.04351672925447163,19.98308753967285,10.840523719787598,68.2169462843388,20.881793813350782,0.41289064288139343,6.984707355499268,33.6199237982835,1.0,2042.016399995191
GridDehazeNet,foggy_road48,13.469300474675585,0.8143237280731862,2925.1646296183267,43.06133270263672,54.08479111190434,-0.4638448673540694,-0.059674601540334105,0.8987015966450324,565.8029730652925,412.34075059957104,0.0,0.3574463088395184,20.59888458251953,13.117928504943848,73.4141314171353,25.762202338108764,0.41393181681632996,6.499110698699951,14.625073672385652,1.0,2057.7160000102594
GridDehazeNet,foggy_road49,15.204138558429381,0.854450322322168,1961.8531901041667,34.78703816731771,44.29281194623081,1.310697787029138,0.0039721967723718166,1.3522898200404592,606.7833278030157,377.9148315229104,0.0,0.15411825805977183,27.669849395751953,16.417749404907227,59.278623797179854,17.446918497573996,0.26501917839050293,7.303049087524414,23.85576886038136,1.0,2134.943300014129
GridDehazeNet,foggy_road50,16.95657210554265,0.8574415175316575,1310.458132425944,24.26288096110026,36.20025044700581,2.0149882271377315,0.009501859247918132,1.590372372632465,1323.4545470768935,856.1374321114272,0.0,0.0,16.543766021728516,8.27930736541748,80.01847326781206,14.984026205464986,0.27342960238456726,6.900696754455566,21.99499429562473,1.0,2085.519399988698
GridDehazeNet,foggy_road51,15.79732821811843,0.8832948327440002,1711.384282430013,34.04899597167969,41.36888060402424,1.0619975949162992,0.04088092477320482,1.2770260587720326,1247.786510518752,891.676908967318,0.0,0.0,19.12377166748047,11.500540733337402,62.7463608627823,21.401257150652654,0.28009599447250366,7.437760829925537,26.63654815775756,1.0,2044.8218999954406
GridDehazeNet,foggy_road52,15.25406319943314,0.840812688899976,1939.4296951293945,36.043434143066406,44.038956562677484,1.0160175013644412,-0.044163859567557306,1.2635771105235598,679.2694329926162,475.71229754481465,0.0,0.20895953986309665,22.95806884765625,13.84912395477295,53.14112904767872,18.88103039925329,0.2933615446090698,7.022747993469238,21.656247199391725,1.0,2417.4194000079297
GridDehazeNet,foggy_road53,14.221326742359949,0.8171532759227514,2460.0712560017905,38.07608286539713,49.59910539517614,-0.44863313780473035,-0.059865293257737484,0.9018549352367469,500.10449941590196,308.2170412084088,0.0,0.23424384055043146,15.945013046264648,9.063904762268066,72.41410996083033,21.67109839266808,0.36211979389190674,6.828498840332031,18.7020388338012,1.0,2797.409799997695
GridDehazeNet,foggy_road54,12.738772949091558,0.8019458266555565,3461.011688232422,44.65201314290365,58.83036365884901,-1.2845414391390086,-0.061365594889775554,0.743953610992508,476.05269801983377,310.9807099736645,0.0,0.31894374931433744,20.69809341430664,12.254015922546387,78.79024901883791,25.411827554526063,0.41451460123062134,6.522115230560303,18.79126181940027,1.0,2776.815799996257
GridDehazeNet,foggy_road55,12.993840552460219,0.799698339638948,3263.59534962972,44.012926737467446,57.127885919485244,-0.8160044498599994,-0.06094483700805664,0.8287042288011707,843.0444507793873,567.2897229622467,0.0,0.08126709586302668,26.358051300048828,17.17138671875,71.40684139788148,24.20539781673255,0.38674235343933105,7.040365219116211,15.743883917687578,1.0,2928.9488999929745
GridDehazeNet,foggy_road56,14.598659605605501,0.8405928645485967,2255.3523483276367,36.146619160970054,47.490550095020346,0.3941584288163398,-0.033345388758362904,1.0950043460401722,673.0487143360078,465.989449194225,0.0,0.20137159219280393,15.833881378173828,9.177088737487793,66.44389314501952,20.830107209379413,0.34377753734588623,6.886475563049316,14.890786585265946,1.0,2526.8734999990556
GridDehazeNet,foggy_road57,14.958756405742102,0.8351600356387134,2075.8918329874673,34.86504364013672,45.56195598289726,0.3488729368128016,-0.03822333545607526,1.0836456542613653,557.5664971238002,362.7452026908868,0.0,0.22808530266303517,23.06739044189453,14.61833381652832,70.83737937671651,20.881244976723245,0.3621489405632019,6.812020301818848,8.652776549054554,1.0,2531.067100004293
GridDehazeNet,foggy_road58,16.49421670744629,0.8869415821312567,1457.6682357788086,30.059003194173176,38.179421627086086,0.4571365417535489,0.009197456609739807,1.1109989645406657,799.4163170107058,498.37103291851236,0.0,0.0,25.275951385498047,14.196675300598145,72.75600262144323,21.370696864823593,0.300497829914093,7.237387657165527,14.481687134101644,1.0,2293.6515000183135
GridDehazeNet,foggy_road59,15.475858529656524,0.8253639113680963,1842.8691838582356,30.1108881632487,42.92865224833218,0.39722249232121065,-0.02646120582033018,1.0957771734305963,907.166744887596,626.6467920786818,0.0,0.042206768914019144,15.899547576904297,8.329252243041992,78.90603699738014,19.510395257334906,0.3541862368583679,6.7414021492004395,21.698541811145507,1.0,2298.1449000071734
GridDehazeNet,foggy_road60,15.841895070780179,0.8238700599096984,1693.9120356241863,30.130409240722656,41.157162628443984,-0.20069978435862978,-0.047488353629509206,0.954838719218169,793.5124051263556,469.429942086339,0.0,0.0,18.63968849182129,9.050942420959473,78.9158587291448,19.87276291493974,0.3371052145957947,6.61318302154541,16.780041657490987,1.0,2316.96739999461
GridDehazeNet,foggy_road61,,,,,,,,,1168.0053704446182,764.5550146624446,0.0,0.0,25.327943801879883,14.192765235900879,69.4987057334425,21.142547428141285,0.2957398593425751,7.3195695877075195,15.013797404995454,1.0,2349.252600019099
GridDehazeNet,foggy_road71,16.0044971277078,0.8702623289980712,1631.6636861165364,31.320643107096355,40.39385703441226,1.3557327614521721,0.016520702124608877,1.3663855990508973,985.2550933212042,681.8827858401928,0.0,0.0,18.8056697845459,9.569899559020996,65.27669861756583,20.51546319090876,0.29478946328163147,7.266656875610352,26.5946211403546,1.0,2403.9651999773923
GridDehazeNet,foggy_road74,15.853968840796178,0.8316846750506556,1689.2093505859375,30.943949381510418,41.09999209958485,1.6993094701317943,-0.0030344170871028364,1.478873228071035,861.9149038758478,573.5880898485775,0.0,0.025291902940914313,15.70599365234375,8.21391487121582,67.88527452954742,19.0989642842395,0.31725043058395386,6.899623870849609,26.152533021045425,1.0,2299.161200004164
GridDehazeNet,foggy_road78,17.63010395893874,0.8856767965477981,1122.1992263793945,24.470919291178387,33.49924217619549,3.209626605197233,0.03955244218617249,2.09393241739155,2116.9922643168247,1276.754739173688,0.0,0.0,19.729732513427734,8.476473808288574,66.41323800130883,16.441927912795215,0.2193973958492279,7.303583145141602,66.9783160924634,1.0,2379.2918999970425
GridDehazeNet,foggy_road79,16.51841129743772,0.8782453398876134,1449.5701293945312,23.219395955403645,38.07322063333402,0.6791556898657447,0.017448087660423384,1.1692720512186012,1528.405059799552,852.6185856296215,0.0,0.0,17.228797912597656,8.196608543395996,85.26595716878434,15.025701883040114,0.2900257706642151,6.736771583557129,29.173895553403337,1.0,2444.216600008076
